n,regime,method,frontier_failure_reason,count,share_within_scenario_method
500,continuous,Bias-aware/Honest,ok,5000,1.0
500,continuous,Conventional MSE,ok,5000,1.0
500,continuous,RBC MSE,ok,5000,1.0
500,fixed_delta_0.01,Bias-aware/Honest,ok,5000,1.0
500,fixed_delta_0.01,Conventional MSE,ok,5000,1.0
500,fixed_delta_0.01,RBC MSE,ok,5000,1.0
500,fixed_delta_0.015,Bias-aware/Honest,ok,5000,1.0
500,fixed_delta_0.015,Conventional MSE,ok,5000,1.0
500,fixed_delta_0.015,RBC MSE,ok,5000,1.0
500,fixed_delta_0.02,Bias-aware/Honest,ok,5000,1.0
500,fixed_delta_0.02,Conventional MSE,ok,5000,1.0
500,fixed_delta_0.02,RBC MSE,ok,5000,1.0
500,fixed_delta_0.025,Bias-aware/Honest,ok,5000,1.0
500,fixed_delta_0.025,Conventional MSE,ok,5000,1.0
500,fixed_delta_0.025,RBC MSE,ok,5000,1.0
500,fixed_delta_0.03,Bias-aware/Honest,ok,4998,0.9996
500,fixed_delta_0.03,Bias-aware/Honest,too_few_obs_h,2,0.0004
500,fixed_delta_0.03,Conventional MSE,ok,4998,0.9996
500,fixed_delta_0.03,Conventional MSE,too_few_obs_h,2,0.0004
500,fixed_delta_0.03,RBC MSE,ok,4998,0.9996
500,fixed_delta_0.03,RBC MSE,too_few_obs_h,2,0.0004
500,fixed_delta_0.035,Bias-aware/Honest,ok,4997,0.9994
500,fixed_delta_0.035,Bias-aware/Honest,too_few_obs_h,3,0.0006
500,fixed_delta_0.035,Conventional MSE,ok,4997,0.9994
500,fixed_delta_0.035,Conventional MSE,too_few_obs_h,3,0.0006
500,fixed_delta_0.035,RBC MSE,ok,4997,0.9994
500,fixed_delta_0.035,RBC MSE,too_few_obs_h,3,0.0006
500,fixed_delta_0.04,Bias-aware/Honest,ok,4999,0.9998
500,fixed_delta_0.04,Bias-aware/Honest,too_few_obs_h,1,0.0002
500,fixed_delta_0.04,Conventional MSE,ok,4999,0.9998
500,fixed_delta_0.04,Conventional MSE,too_few_obs_h,1,0.0002
500,fixed_delta_0.04,RBC MSE,ok,4999,0.9998
500,fixed_delta_0.04,RBC MSE,too_few_obs_h,1,0.0002
500,fixed_delta_0.045,Bias-aware/Honest,ok,5000,1.0
500,fixed_delta_0.045,Conventional MSE,ok,5000,1.0
500,fixed_delta_0.045,RBC MSE,ok,5000,1.0
500,fixed_delta_0.05,Bias-aware/Honest,ok,4998,0.9996
500,fixed_delta_0.05,Bias-aware/Honest,nan_ci,1,0.0002
500,fixed_delta_0.05,Bias-aware/Honest,raw_failure,1,0.0002
500,fixed_delta_0.05,Conventional MSE,ok,4998,0.9996
500,fixed_delta_0.05,Conventional MSE,nan_ci,1,0.0002
500,fixed_delta_0.05,Conventional MSE,raw_failure,1,0.0002
500,fixed_delta_0.05,RBC MSE,ok,4998,0.9996
500,fixed_delta_0.05,RBC MSE,insufficient_unique_h,1,0.0002
500,fixed_delta_0.05,RBC MSE,raw_failure,1,0.0002
500,fixed_delta_0.055,Bias-aware/Honest,ok,4991,0.9982
500,fixed_delta_0.055,Bias-aware/Honest,raw_failure,7,0.0014
500,fixed_delta_0.055,Bias-aware/Honest,nan_ci,2,0.0004
500,fixed_delta_0.055,Conventional MSE,ok,4991,0.9982
500,fixed_delta_0.055,Conventional MSE,raw_failure,7,0.0014
500,fixed_delta_0.055,Conventional MSE,insufficient_unique_h,1,0.0002
500,fixed_delta_0.055,Conventional MSE,nan_ci,1,0.0002
500,fixed_delta_0.055,RBC MSE,ok,4991,0.9982
500,fixed_delta_0.055,RBC MSE,raw_failure,7,0.0014
500,fixed_delta_0.055,RBC MSE,insufficient_unique_h,1,0.0002
500,fixed_delta_0.055,RBC MSE,nan_ci,1,0.0002
500,fixed_delta_0.06,Bias-aware/Honest,ok,4955,0.991
500,fixed_delta_0.06,Bias-aware/Honest,raw_failure,34,0.0068
500,fixed_delta_0.06,Bias-aware/Honest,nan_ci,11,0.0022
500,fixed_delta_0.06,Conventional MSE,ok,4955,0.991
500,fixed_delta_0.06,Conventional MSE,raw_failure,34,0.0068
500,fixed_delta_0.06,Conventional MSE,nan_ci,8,0.0016
500,fixed_delta_0.06,Conventional MSE,insufficient_unique_h,3,0.0006
500,fixed_delta_0.06,RBC MSE,ok,4955,0.991
500,fixed_delta_0.06,RBC MSE,raw_failure,34,0.0068
500,fixed_delta_0.06,RBC MSE,insufficient_unique_h,6,0.0012
500,fixed_delta_0.06,RBC MSE,nan_ci,5,0.001
500,fixed_delta_0.065,Bias-aware/Honest,ok,4865,0.973
500,fixed_delta_0.065,Bias-aware/Honest,raw_failure,81,0.0162
500,fixed_delta_0.065,Bias-aware/Honest,nan_ci,54,0.0108
500,fixed_delta_0.065,Conventional MSE,ok,4865,0.973
500,fixed_delta_0.065,Conventional MSE,raw_failure,81,0.0162
500,fixed_delta_0.065,Conventional MSE,nan_ci,28,0.0056
500,fixed_delta_0.065,Conventional MSE,insufficient_unique_h,26,0.0052
500,fixed_delta_0.065,RBC MSE,ok,4865,0.973
500,fixed_delta_0.065,RBC MSE,raw_failure,81,0.0162
500,fixed_delta_0.065,RBC MSE,insufficient_unique_h,30,0.006
500,fixed_delta_0.065,RBC MSE,nan_ci,24,0.0048
500,fixed_delta_0.07,Bias-aware/Honest,ok,4668,0.9336
500,fixed_delta_0.07,Bias-aware/Honest,raw_failure,208,0.0416
500,fixed_delta_0.07,Bias-aware/Honest,nan_ci,124,0.0248
500,fixed_delta_0.07,Conventional MSE,ok,4668,0.9336
500,fixed_delta_0.07,Conventional MSE,raw_failure,208,0.0416
500,fixed_delta_0.07,Conventional MSE,insufficient_unique_h,63,0.0126
500,fixed_delta_0.07,Conventional MSE,nan_ci,61,0.0122
500,fixed_delta_0.07,RBC MSE,ok,4668,0.9336
500,fixed_delta_0.07,RBC MSE,raw_failure,208,0.0416
500,fixed_delta_0.07,RBC MSE,nan_ci,66,0.0132
500,fixed_delta_0.07,RBC MSE,insufficient_unique_h,58,0.0116
500,fixed_delta_0.075,Bias-aware/Honest,ok,4285,0.857
500,fixed_delta_0.075,Bias-aware/Honest,raw_failure,477,0.0954
500,fixed_delta_0.075,Bias-aware/Honest,nan_ci,238,0.0476
500,fixed_delta_0.075,Conventional MSE,ok,4285,0.857
500,fixed_delta_0.075,Conventional MSE,raw_failure,477,0.0954
500,fixed_delta_0.075,Conventional MSE,nan_ci,125,0.025
500,fixed_delta_0.075,Conventional MSE,insufficient_unique_h,113,0.0226
500,fixed_delta_0.075,RBC MSE,ok,4285,0.857
500,fixed_delta_0.075,RBC MSE,raw_failure,477,0.0954
500,fixed_delta_0.075,RBC MSE,nan_ci,129,0.0258
500,fixed_delta_0.075,RBC MSE,insufficient_unique_h,109,0.0218
500,fixed_delta_0.08,Bias-aware/Honest,ok,3694,0.7388
500,fixed_delta_0.08,Bias-aware/Honest,raw_failure,854,0.1708
500,fixed_delta_0.08,Bias-aware/Honest,nan_ci,452,0.0904
500,fixed_delta_0.08,Conventional MSE,ok,3694,0.7388
500,fixed_delta_0.08,Conventional MSE,raw_failure,854,0.1708
500,fixed_delta_0.08,Conventional MSE,nan_ci,238,0.0476
500,fixed_delta_0.08,Conventional MSE,insufficient_unique_h,214,0.0428
500,fixed_delta_0.08,RBC MSE,ok,3694,0.7388
500,fixed_delta_0.08,RBC MSE,raw_failure,854,0.1708
500,fixed_delta_0.08,RBC MSE,insufficient_unique_h,227,0.0454
500,fixed_delta_0.08,RBC MSE,nan_ci,225,0.045
500,fixed_delta_0.09,Bias-aware/Honest,ok,2636,0.5272
500,fixed_delta_0.09,Bias-aware/Honest,raw_failure,1514,0.3028
500,fixed_delta_0.09,Bias-aware/Honest,nan_ci,850,0.17
500,fixed_delta_0.09,Conventional MSE,ok,2636,0.5272
500,fixed_delta_0.09,Conventional MSE,raw_failure,1514,0.3028
500,fixed_delta_0.09,Conventional MSE,nan_ci,431,0.0862
500,fixed_delta_0.09,Conventional MSE,insufficient_unique_h,419,0.0838
500,fixed_delta_0.09,RBC MSE,ok,2636,0.5272
500,fixed_delta_0.09,RBC MSE,raw_failure,1514,0.3028
500,fixed_delta_0.09,RBC MSE,nan_ci,456,0.0912
500,fixed_delta_0.09,RBC MSE,insufficient_unique_h,394,0.0788
500,fixed_delta_0.1,Bias-aware/Honest,ok,2101,0.4202
500,fixed_delta_0.1,Bias-aware/Honest,raw_failure,1815,0.363
500,fixed_delta_0.1,Bias-aware/Honest,nan_ci,1084,0.2168
500,fixed_delta_0.1,Conventional MSE,ok,2101,0.4202
500,fixed_delta_0.1,Conventional MSE,raw_failure,1815,0.363
500,fixed_delta_0.1,Conventional MSE,insufficient_unique_h,558,0.1116
500,fixed_delta_0.1,Conventional MSE,nan_ci,526,0.1052
500,fixed_delta_0.1,RBC MSE,ok,2101,0.4202
500,fixed_delta_0.1,RBC MSE,raw_failure,1815,0.363
500,fixed_delta_0.1,RBC MSE,nan_ci,569,0.1138
500,fixed_delta_0.1,RBC MSE,insufficient_unique_h,515,0.103
500,fixed_delta_0.12,Bias-aware/Honest,raw_failure,3308,0.6616
500,fixed_delta_0.12,Bias-aware/Honest,nan_ci,1644,0.3288
500,fixed_delta_0.12,Bias-aware/Honest,ok,48,0.0096
500,fixed_delta_0.12,Conventional MSE,raw_failure,3308,0.6616
500,fixed_delta_0.12,Conventional MSE,nan_ci,861,0.1722
500,fixed_delta_0.12,Conventional MSE,insufficient_unique_h,783,0.1566
500,fixed_delta_0.12,Conventional MSE,ok,48,0.0096
500,fixed_delta_0.12,RBC MSE,raw_failure,3308,0.6616
500,fixed_delta_0.12,RBC MSE,insufficient_unique_h,853,0.1706
500,fixed_delta_0.12,RBC MSE,nan_ci,791,0.1582
500,fixed_delta_0.12,RBC MSE,ok,48,0.0096
500,shrinking_delta,Bias-aware/Honest,ok,4998,0.9996
500,shrinking_delta,Bias-aware/Honest,nan_ci,1,0.0002
500,shrinking_delta,Bias-aware/Honest,raw_failure,1,0.0002
500,shrinking_delta,Conventional MSE,ok,4998,0.9996
500,shrinking_delta,Conventional MSE,nan_ci,1,0.0002
500,shrinking_delta,Conventional MSE,raw_failure,1,0.0002
500,shrinking_delta,RBC MSE,ok,4998,0.9996
500,shrinking_delta,RBC MSE,insufficient_unique_h,1,0.0002
500,shrinking_delta,RBC MSE,raw_failure,1,0.0002
750,continuous,Bias-aware/Honest,ok,5000,1.0
750,continuous,Conventional MSE,ok,5000,1.0
750,continuous,RBC MSE,ok,5000,1.0
750,fixed_delta_0.01,Bias-aware/Honest,ok,5000,1.0
750,fixed_delta_0.01,Conventional MSE,ok,5000,1.0
750,fixed_delta_0.01,RBC MSE,ok,5000,1.0
750,fixed_delta_0.015,Bias-aware/Honest,ok,5000,1.0
750,fixed_delta_0.015,Conventional MSE,ok,5000,1.0
750,fixed_delta_0.015,RBC MSE,ok,5000,1.0
750,fixed_delta_0.02,Bias-aware/Honest,ok,5000,1.0
750,fixed_delta_0.02,Conventional MSE,ok,5000,1.0
750,fixed_delta_0.02,RBC MSE,ok,5000,1.0
750,fixed_delta_0.025,Bias-aware/Honest,ok,5000,1.0
750,fixed_delta_0.025,Conventional MSE,ok,5000,1.0
750,fixed_delta_0.025,RBC MSE,ok,5000,1.0
750,fixed_delta_0.03,Bias-aware/Honest,ok,5000,1.0
750,fixed_delta_0.03,Conventional MSE,ok,5000,1.0
750,fixed_delta_0.03,RBC MSE,ok,5000,1.0
750,fixed_delta_0.035,Bias-aware/Honest,ok,5000,1.0
750,fixed_delta_0.035,Conventional MSE,ok,5000,1.0
750,fixed_delta_0.035,RBC MSE,ok,5000,1.0
750,fixed_delta_0.04,Bias-aware/Honest,ok,5000,1.0
750,fixed_delta_0.04,Conventional MSE,ok,5000,1.0
750,fixed_delta_0.04,RBC MSE,ok,5000,1.0
750,fixed_delta_0.045,Bias-aware/Honest,ok,4998,0.9996
750,fixed_delta_0.045,Bias-aware/Honest,nan_ci,2,0.0004
750,fixed_delta_0.045,Conventional MSE,ok,4998,0.9996
750,fixed_delta_0.045,Conventional MSE,nan_ci,2,0.0004
750,fixed_delta_0.045,RBC MSE,ok,4998,0.9996
750,fixed_delta_0.045,RBC MSE,insufficient_unique_h,1,0.0002
750,fixed_delta_0.045,RBC MSE,nan_ci,1,0.0002
750,fixed_delta_0.05,Bias-aware/Honest,ok,4991,0.9982
750,fixed_delta_0.05,Bias-aware/Honest,raw_failure,6,0.0012
750,fixed_delta_0.05,Bias-aware/Honest,nan_ci,3,0.0006
750,fixed_delta_0.05,Conventional MSE,ok,4991,0.9982
750,fixed_delta_0.05,Conventional MSE,raw_failure,6,0.0012
750,fixed_delta_0.05,Conventional MSE,nan_ci,2,0.0004
750,fixed_delta_0.05,Conventional MSE,insufficient_unique_h,1,0.0002
750,fixed_delta_0.05,RBC MSE,ok,4991,0.9982
750,fixed_delta_0.05,RBC MSE,raw_failure,6,0.0012
750,fixed_delta_0.05,RBC MSE,insufficient_unique_h,2,0.0004
750,fixed_delta_0.05,RBC MSE,nan_ci,1,0.0002
750,shrinking_delta,Bias-aware/Honest,ok,5000,1.0
750,shrinking_delta,Conventional MSE,ok,5000,1.0
750,shrinking_delta,RBC MSE,ok,5000,1.0
1000,continuous,Bias-aware/Honest,ok,5000,1.0
1000,continuous,Conventional MSE,ok,5000,1.0
1000,continuous,RBC MSE,ok,5000,1.0
1000,fixed_delta_0.01,Bias-aware/Honest,ok,5000,1.0
1000,fixed_delta_0.01,Conventional MSE,ok,5000,1.0
1000,fixed_delta_0.01,RBC MSE,ok,5000,1.0
1000,fixed_delta_0.015,Bias-aware/Honest,ok,5000,1.0
1000,fixed_delta_0.015,Conventional MSE,ok,5000,1.0
1000,fixed_delta_0.015,RBC MSE,ok,5000,1.0
1000,fixed_delta_0.02,Bias-aware/Honest,ok,5000,1.0
1000,fixed_delta_0.02,Conventional MSE,ok,5000,1.0
1000,fixed_delta_0.02,RBC MSE,ok,5000,1.0
1000,fixed_delta_0.025,Bias-aware/Honest,ok,5000,1.0
1000,fixed_delta_0.025,Conventional MSE,ok,5000,1.0
1000,fixed_delta_0.025,RBC MSE,ok,5000,1.0
1000,fixed_delta_0.03,Bias-aware/Honest,ok,5000,1.0
1000,fixed_delta_0.03,Conventional MSE,ok,5000,1.0
1000,fixed_delta_0.03,RBC MSE,ok,5000,1.0
1000,fixed_delta_0.035,Bias-aware/Honest,ok,5000,1.0
1000,fixed_delta_0.035,Conventional MSE,ok,5000,1.0
1000,fixed_delta_0.035,RBC MSE,ok,5000,1.0
1000,fixed_delta_0.04,Bias-aware/Honest,ok,4999,0.9998
1000,fixed_delta_0.04,Bias-aware/Honest,nan_ci,1,0.0002
1000,fixed_delta_0.04,Conventional MSE,ok,4999,0.9998
1000,fixed_delta_0.04,Conventional MSE,insufficient_unique_h,1,0.0002
1000,fixed_delta_0.04,RBC MSE,ok,4999,0.9998
1000,fixed_delta_0.04,RBC MSE,insufficient_unique_h,1,0.0002
1000,fixed_delta_0.045,Bias-aware/Honest,ok,4993,0.9986
1000,fixed_delta_0.045,Bias-aware/Honest,raw_failure,5,0.001
1000,fixed_delta_0.045,Bias-aware/Honest,nan_ci,2,0.0004
1000,fixed_delta_0.045,Conventional MSE,ok,4993,0.9986
1000,fixed_delta_0.045,Conventional MSE,raw_failure,5,0.001
1000,fixed_delta_0.045,Conventional MSE,insufficient_unique_h,1,0.0002
1000,fixed_delta_0.045,Conventional MSE,nan_ci,1,0.0002
1000,fixed_delta_0.045,RBC MSE,ok,4993,0.9986
1000,fixed_delta_0.045,RBC MSE,raw_failure,5,0.001
1000,fixed_delta_0.045,RBC MSE,insufficient_unique_h,1,0.0002
1000,fixed_delta_0.045,RBC MSE,nan_ci,1,0.0002
1000,fixed_delta_0.05,Bias-aware/Honest,ok,4966,0.9932
1000,fixed_delta_0.05,Bias-aware/Honest,raw_failure,22,0.0044
1000,fixed_delta_0.05,Bias-aware/Honest,nan_ci,12,0.0024
1000,fixed_delta_0.05,Conventional MSE,ok,4966,0.9932
1000,fixed_delta_0.05,Conventional MSE,raw_failure,22,0.0044
1000,fixed_delta_0.05,Conventional MSE,insufficient_unique_h,6,0.0012
1000,fixed_delta_0.05,Conventional MSE,nan_ci,6,0.0012
1000,fixed_delta_0.05,RBC MSE,ok,4966,0.9932
1000,fixed_delta_0.05,RBC MSE,raw_failure,22,0.0044
1000,fixed_delta_0.05,RBC MSE,nan_ci,7,0.0014
1000,fixed_delta_0.05,RBC MSE,insufficient_unique_h,5,0.001
1000,shrinking_delta,Bias-aware/Honest,ok,5000,1.0
1000,shrinking_delta,Conventional MSE,ok,5000,1.0
1000,shrinking_delta,RBC MSE,ok,5000,1.0
1500,continuous,Bias-aware/Honest,ok,5000,1.0
1500,continuous,Conventional MSE,ok,5000,1.0
1500,continuous,RBC MSE,ok,5000,1.0
1500,fixed_delta_0.01,Bias-aware/Honest,ok,5000,1.0
1500,fixed_delta_0.01,Conventional MSE,ok,5000,1.0
1500,fixed_delta_0.01,RBC MSE,ok,5000,1.0
1500,fixed_delta_0.015,Bias-aware/Honest,ok,5000,1.0
1500,fixed_delta_0.015,Conventional MSE,ok,5000,1.0
1500,fixed_delta_0.015,RBC MSE,ok,5000,1.0
1500,fixed_delta_0.02,Bias-aware/Honest,ok,5000,1.0
1500,fixed_delta_0.02,Conventional MSE,ok,5000,1.0
1500,fixed_delta_0.02,RBC MSE,ok,5000,1.0
1500,fixed_delta_0.025,Bias-aware/Honest,ok,5000,1.0
1500,fixed_delta_0.025,Conventional MSE,ok,5000,1.0
1500,fixed_delta_0.025,RBC MSE,ok,5000,1.0
1500,fixed_delta_0.03,Bias-aware/Honest,ok,5000,1.0
1500,fixed_delta_0.03,Conventional MSE,ok,5000,1.0
1500,fixed_delta_0.03,RBC MSE,ok,5000,1.0
1500,fixed_delta_0.035,Bias-aware/Honest,ok,5000,1.0
1500,fixed_delta_0.035,Conventional MSE,ok,5000,1.0
1500,fixed_delta_0.035,RBC MSE,ok,5000,1.0
1500,fixed_delta_0.04,Bias-aware/Honest,ok,4999,0.9998
1500,fixed_delta_0.04,Bias-aware/Honest,nan_ci,1,0.0002
1500,fixed_delta_0.04,Conventional MSE,ok,4999,0.9998
1500,fixed_delta_0.04,Conventional MSE,insufficient_unique_h,1,0.0002
1500,fixed_delta_0.04,RBC MSE,ok,4999,0.9998
