n,question,answer_from_results,supporting_metric
500,Does RBC improve coverage relative to conventional inference in the continuous baseline?,RBC improves coverage relative to conventional inference in the continuous baseline.,"RBC=0.9374, Conventional=0.8724, diff=0.0650"
500,Does fine discretization preserve RBC coverage relative to the continuous baseline?,Fine discretization preserves RBC coverage close to the continuous baseline.,"RBC fine delta=0.01=0.9468, continuous=0.9374, gap=0.0094"
500,Does coarse discretization reduce local support points?,Coarser discretization reduces distinct local support points.,finest delta=0.01: 9.481; coarsest delta=0.12: 1.053
500,Does RBC coverage decline when local support score is low?,RBC coverage is lower in low-support bins.,"low-support coverage=0.8764, high-support coverage=0.9375, low-support display-ok=0.0000"
500,Are low-coverage scenarios also low-usability scenarios?,The weakest RBC coverage cell also has poor frontier usability/local support.,"worst fixed delta=0.12, coverage=0.0000, display-ok=0.0000, support=1.053"
500,Is the discrete failure primarily an inference problem or a local support problem?,"The evidence points to a local-support estimation/identification boundary, not only an inference problem.","coarsest fixed delta=0.12, display-ok=0.0000, pathological-length=0.1706, support=1.053"
750,Does RBC improve coverage relative to conventional inference in the continuous baseline?,RBC improves coverage relative to conventional inference in the continuous baseline.,"RBC=0.9302, Conventional=0.8600, diff=0.0702"
750,Does fine discretization preserve RBC coverage relative to the continuous baseline?,Fine discretization preserves RBC coverage close to the continuous baseline.,"RBC fine delta=0.01=0.9374, continuous=0.9302, gap=0.0072"
750,Does coarse discretization reduce local support points?,Coarser discretization reduces distinct local support points.,finest delta=0.01: 9.126; coarsest delta=0.05: 2.004
750,Does RBC coverage decline when local support score is low?,"RBC coverage does not fall sharply, but low-support bins fail the display/usability diagnostic.","low-support coverage=0.9275, high-support coverage=0.9331, low-support display-ok=0.0000"
750,Are low-coverage scenarios also low-usability scenarios?,The weakest RBC coverage cell also has poor frontier usability/local support.,"worst fixed delta=0.04, coverage=0.9240, display-ok=0.0000, support=2.276"
750,Is the discrete failure primarily an inference problem or a local support problem?,"The evidence points to a local-support estimation/identification boundary, not only an inference problem.","coarsest fixed delta=0.05, display-ok=0.0000, pathological-length=0.0004, support=2.004"
1000,Does RBC improve coverage relative to conventional inference in the continuous baseline?,RBC improves coverage relative to conventional inference in the continuous baseline.,"RBC=0.9266, Conventional=0.8602, diff=0.0664"
1000,Does fine discretization preserve RBC coverage relative to the continuous baseline?,Fine discretization preserves RBC coverage close to the continuous baseline.,"RBC fine delta=0.01=0.9268, continuous=0.9266, gap=0.0002"
1000,Does coarse discretization reduce local support points?,Coarser discretization reduces distinct local support points.,finest delta=0.01: 8.649; coarsest delta=0.05: 1.999
1000,Does RBC coverage decline when local support score is low?,"RBC coverage does not fall sharply, but low-support bins fail the display/usability diagnostic.","low-support coverage=0.9327, high-support coverage=0.9319, low-support display-ok=0.0000"
1000,Are low-coverage scenarios also low-usability scenarios?,The weakest RBC coverage cell also has poor frontier usability/local support.,"worst fixed delta=0.05, coverage=0.9257, display-ok=0.0000, support=1.999"
1000,Is the discrete failure primarily an inference problem or a local support problem?,"The evidence points to a local-support estimation/identification boundary, not only an inference problem.","coarsest fixed delta=0.05, display-ok=0.0000, pathological-length=0.0010, support=1.999"
1500,Does RBC improve coverage relative to conventional inference in the continuous baseline?,RBC improves coverage relative to conventional inference in the continuous baseline.,"RBC=0.9334, Conventional=0.8670, diff=0.0664"
1500,Does fine discretization preserve RBC coverage relative to the continuous baseline?,Fine discretization preserves RBC coverage close to the continuous baseline.,"RBC fine delta=0.01=0.9356, continuous=0.9334, gap=0.0022"
1500,Does coarse discretization reduce local support points?,Coarser discretization reduces distinct local support points.,finest delta=0.01: 7.924; coarsest delta=0.05: 1.990
1500,Does RBC coverage decline when local support score is low?,"RBC coverage does not fall sharply, but low-support bins fail the display/usability diagnostic.","low-support coverage=0.9358, high-support coverage=0.9384, low-support display-ok=0.0000"
1500,Are low-coverage scenarios also low-usability scenarios?,The weakest RBC coverage cell also has poor frontier usability/local support.,"worst fixed delta=0.05, coverage=0.9305, display-ok=0.0000, support=1.990"
1500,Is the discrete failure primarily an inference problem or a local support problem?,"The evidence points to a local-support estimation/identification boundary, not only an inference problem.","coarsest fixed delta=0.05, display-ok=0.0000, pathological-length=0.0096, support=1.990"
2000,Does RBC improve coverage relative to conventional inference in the continuous baseline?,RBC improves coverage relative to conventional inference in the continuous baseline.,"RBC=0.9352, Conventional=0.8758, diff=0.0594"
2000,Does fine discretization preserve RBC coverage relative to the continuous baseline?,Fine discretization preserves RBC coverage close to the continuous baseline.,"RBC fine delta=0.01=0.9366, continuous=0.9352, gap=0.0014"
2000,Does coarse discretization reduce local support points?,Coarser discretization reduces distinct local support points.,finest delta=0.01: 7.454; coarsest delta=0.05: 1.947
2000,Does RBC coverage decline when local support score is low?,"RBC coverage does not fall sharply, but low-support bins fail the display/usability diagnostic.","low-support coverage=0.9325, high-support coverage=0.9289, low-support display-ok=0.0000"
2000,Are low-coverage scenarios also low-usability scenarios?,The weakest RBC coverage cell also has poor frontier usability/local support.,"worst fixed delta=0.05, coverage=0.9059, display-ok=0.0000, support=1.947"
2000,Is the discrete failure primarily an inference problem or a local support problem?,"The evidence points to a local-support estimation/identification boundary, not only an inference problem.","coarsest fixed delta=0.05, display-ok=0.0000, pathological-length=0.0452, support=1.947"
3000,Does RBC improve coverage relative to conventional inference in the continuous baseline?,RBC improves coverage relative to conventional inference in the continuous baseline.,"RBC=0.9386, Conventional=0.8780, diff=0.0606"
3000,Does fine discretization preserve RBC coverage relative to the continuous baseline?,Fine discretization preserves RBC coverage close to the continuous baseline.,"RBC fine delta=0.01=0.9446, continuous=0.9386, gap=0.0060"
3000,Does coarse discretization reduce local support points?,Coarser discretization reduces distinct local support points.,finest delta=0.01: 6.834; coarsest delta=0.05: 1.708
3000,Does RBC coverage decline when local support score is low?,"RBC coverage does not fall sharply, but low-support bins fail the display/usability diagnostic.","low-support coverage=0.9314, high-support coverage=0.9233, low-support display-ok=0.0000"
3000,Are low-coverage scenarios also low-usability scenarios?,The weakest RBC coverage cell also has poor frontier usability/local support.,"worst fixed delta=0.05, coverage=0.7638, display-ok=0.0000, support=1.708"
3000,Is the discrete failure primarily an inference problem or a local support problem?,"The evidence points to a local-support estimation/identification boundary, not only an inference problem.","coarsest fixed delta=0.05, display-ok=0.0000, pathological-length=0.1390, support=1.708"
4000,Does RBC improve coverage relative to conventional inference in the continuous baseline?,RBC improves coverage relative to conventional inference in the continuous baseline.,"RBC=0.9418, Conventional=0.8824, diff=0.0594"
4000,Does fine discretization preserve RBC coverage relative to the continuous baseline?,Fine discretization preserves RBC coverage close to the continuous baseline.,"RBC fine delta=0.01=0.9446, continuous=0.9418, gap=0.0028"
4000,Does coarse discretization reduce local support points?,Coarser discretization reduces distinct local support points.,finest delta=0.01: 6.404; coarsest delta=0.05: 1.303
4000,Does RBC coverage decline when local support score is low?,"RBC coverage does not fall sharply, but low-support bins fail the display/usability diagnostic.","low-support coverage=0.9338, high-support coverage=0.9375, low-support display-ok=0.0000"
4000,Are low-coverage scenarios also low-usability scenarios?,The weakest RBC coverage cell also has poor frontier usability/local support.,"worst fixed delta=0.05, coverage=0.4741, display-ok=0.0000, support=1.303"
4000,Is the discrete failure primarily an inference problem or a local support problem?,"The evidence points to a local-support estimation/identification boundary, not only an inference problem.","coarsest fixed delta=0.05, display-ok=0.0000, pathological-length=0.1950, support=1.303"
5000,Does RBC improve coverage relative to conventional inference in the continuous baseline?,RBC improves coverage relative to conventional inference in the continuous baseline.,"RBC=0.9436, Conventional=0.8864, diff=0.0572"
5000,Does fine discretization preserve RBC coverage relative to the continuous baseline?,Fine discretization preserves RBC coverage close to the continuous baseline.,"RBC fine delta=0.01=0.9466, continuous=0.9436, gap=0.0030"
5000,Does coarse discretization reduce local support points?,Coarser discretization reduces distinct local support points.,finest delta=0.01: 6.124; coarsest delta=0.05: 1.115
5000,Does RBC coverage decline when local support score is low?,"RBC coverage does not fall sharply, but low-support bins fail the display/usability diagnostic.","low-support coverage=0.9371, high-support coverage=0.9436, low-support display-ok=0.0000"
5000,Are low-coverage scenarios also low-usability scenarios?,The weakest RBC coverage cell also has poor frontier usability/local support.,"worst fixed delta=0.05, coverage=0.3246, display-ok=0.0000, support=1.115"
5000,Is the discrete failure primarily an inference problem or a local support problem?,"The evidence points to a local-support estimation/identification boundary, not only an inference problem.","coarsest fixed delta=0.05, display-ok=0.0000, pathological-length=0.1756, support=1.115"
