n,regime,scenario,delta,n_with_diagnostics,rbc_min_support_rate,rbc_support_adequate_rate,h_left_mean,h_left_median,h_left_min,h_left_max,h_right_mean,h_right_median,h_right_min,h_right_max,b_left_mean,b_left_median,b_left_min,b_left_max,b_right_mean,b_right_median,b_right_min,b_right_max,unique_h_left_mean,unique_h_left_median,unique_h_left_min,unique_h_left_max,unique_h_right_mean,unique_h_right_median,unique_h_right_min,unique_h_right_max,unique_b_left_mean,unique_b_left_median,unique_b_left_min,unique_b_left_max,unique_b_right_mean,unique_b_right_median,unique_b_right_min,unique_b_right_max,obs_h_left_mean,obs_h_left_median,obs_h_left_min,obs_h_left_max,obs_h_right_mean,obs_h_right_median,obs_h_right_min,obs_h_right_max,obs_b_left_mean,obs_b_left_median,obs_b_left_min,obs_b_left_max,obs_b_right_mean,obs_b_right_median,obs_b_right_min,obs_b_right_max,min_unique_h_mean,min_unique_h_median,min_unique_h_min,min_unique_h_max,min_unique_b_mean,min_unique_b_median,min_unique_b_min,min_unique_b_max,h_over_delta_left_mean,h_over_delta_left_median,h_over_delta_left_min,h_over_delta_left_max,h_over_delta_right_mean,h_over_delta_right_median,h_over_delta_right_min,h_over_delta_right_max,b_over_delta_left_mean,b_over_delta_left_median,b_over_delta_left_min,b_over_delta_left_max,b_over_delta_right_mean,b_over_delta_right_median,b_over_delta_right_min,b_over_delta_right_max,nearest_support_distance_mean,nearest_support_distance_median,nearest_support_distance_min,nearest_support_distance_max,M_left_rdrobust_mean,M_left_rdrobust_median,M_left_rdrobust_min,M_left_rdrobust_max,M_right_rdrobust_mean,M_right_rdrobust_median,M_right_rdrobust_min,M_right_rdrobust_max
750,fixed_delta_0.02,F_delta_0.02,0.02,5000,1.0,1.0,0.09328356183033874,0.0929619348970825,0.0622858374017102,0.1320391021524939,0.09328356183033874,0.0929619348970825,0.0622858374017102,0.1320391021524939,0.21078712169379551,0.2108077597234121,0.1498632807026872,0.2830758684779303,0.21078712169379551,0.2108077597234121,0.1498632807026872,0.2830758684779303,4.6616,5.0,3.0,7.0,4.6606,5.0,3.0,7.0,10.5424,11.0,7.0,14.0,10.5296,11.0,7.0,14.0,47.731,48.0,22.0,86.0,39.3008,39.0,16.0,66.0,119.2164,119.0,67.0,203.0,77.9722,78.0,45.0,118.0,4.6604,5.0,3.0,7.0,10.5294,11.0,7.0,14.0,4.6641780915169395,4.6480967448541275,3.114291870085511,6.601955107624695,4.6641780915169395,4.6480967448541275,3.114291870085511,6.601955107624695,10.539356084689777,10.540387986170607,7.493164035134361,14.153793423896518,10.539356084689777,10.540387986170607,7.493164035134361,14.153793423896518,0.01,0.01,0.01,0.01,49.3496,49.0,47.0,50.0,31.7504,32.0,25.0,39.0
1000,fixed_delta_0.02,F_delta_0.02,0.02,5000,1.0,1.0,0.08757063080062606,0.08738064823343106,0.0604213410007252,0.1225734665015787,0.08757063080062606,0.08738064823343106,0.0604213410007252,0.1225734665015787,0.20168503965185328,0.20140623971642185,0.1486287684610814,0.2637714668023746,0.20168503965185328,0.20140623971642185,0.1486287684610814,0.2637714668023746,4.365,4.0,3.0,6.0,4.365,4.0,3.0,6.0,10.0754,10.0,7.0,13.0,10.0752,10.0,7.0,13.0,59.2606,58.0,23.0,105.0,49.3906,49.0,22.0,83.0,150.8582,150.0,85.0,241.0,100.5064,100.0,64.0,148.0,4.365,4.0,3.0,6.0,10.0752,10.0,7.0,13.0,4.378531540031305,4.3690324116715535,3.021067050036263,6.128673325078936,4.378531540031305,4.3690324116715535,3.021067050036263,6.128673325078936,10.084251982592665,10.070311985821093,7.431438423054072,13.188573340118731,10.084251982592665,10.070311985821093,7.431438423054072,13.188573340118731,0.01,0.01,0.01,0.01,49.5468,50.0,47.0,50.0,33.5414,34.0,26.0,40.0
1500,fixed_delta_0.02,F_delta_0.02,0.02,5000,1.0,1.0,0.08020836163997404,0.08005204047377915,0.0575248039633476,0.1105530651189286,0.08020836163997404,0.08005204047377915,0.0575248039633476,0.1105530651189286,0.18966549070880898,0.18910968906380282,0.1423935957573349,0.243584543771691,0.18966549070880898,0.18910968906380282,0.1423935957573349,0.243584543771691,4.013,4.0,3.0,6.0,4.013,4.0,3.0,6.0,9.4758,9.0,7.0,12.0,9.4758,9.0,7.0,12.0,81.2018,81.0,38.0,132.0,68.8112,69.0,34.0,119.0,210.7544,210.0,114.0,301.0,143.9848,143.0,101.0,212.0,4.013,4.0,3.0,6.0,9.4758,9.0,7.0,12.0,4.010418081998703,4.002602023688961,2.876240198167382,5.527653255946429,4.010418081998703,4.002602023688961,2.876240198167382,5.527653255946429,9.48327453544045,9.455484453190142,7.119679787866745,12.179227188584552,9.48327453544045,9.455484453190142,7.119679787866745,12.179227188584552,0.01,0.01,0.01,0.01,49.7566,50.0,48.0,50.0,35.7774,36.0,30.0,42.0
2000,fixed_delta_0.02,F_delta_0.02,0.02,5000,1.0,1.0,0.07544232242599201,0.07526478739605766,0.0554240174010898,0.1016666547393625,0.07544232242599201,0.07526478739605766,0.0554240174010898,0.1016666547393625,0.18160489238416846,0.18089512288315876,0.1408385451680159,0.2239120663422246,0.18160489238416846,0.18089512288315876,0.1408385451680159,0.2239120663422246,3.8318,4.0,3.0,5.0,3.8318,4.0,3.0,5.0,9.0848,9.0,7.0,11.0,9.0848,9.0,7.0,11.0,103.1444,105.0,54.0,166.0,88.127,90.0,43.0,135.0,267.7256,267.0,162.0,386.0,185.9486,186.0,129.0,262.0,3.8318,4.0,3.0,5.0,9.0848,9.0,7.0,11.0,3.772116121299603,3.7632393698028865,2.771200870054493,5.083332736968127,3.772116121299603,3.7632393698028865,2.771200870054493,5.083332736968127,9.080244619208425,9.044756144157938,7.041927258400794,11.195603317111232,9.080244619208425,9.044756144157938,7.041927258400794,11.195603317111232,0.01,0.01,0.01,0.01,49.8574,50.0,48.0,50.0,37.168,37.0,31.0,43.0
3000,fixed_delta_0.02,F_delta_0.02,0.02,5000,1.0,1.0,0.0691522838490866,0.06901837134858416,0.0525516922527788,0.0897497588893611,0.0691522838490866,0.06901837134858416,0.0525516922527788,0.0897497588893611,0.1706439036278071,0.1701402903513215,0.1343911124721096,0.2114701393792241,0.1706439036278071,0.1701402903513215,0.1343911124721096,0.2114701393792241,3.42,3.0,3.0,4.0,3.42,3.0,3.0,4.0,8.5288,9.0,7.0,11.0,8.5288,9.0,7.0,11.0,136.9546,131.0,84.0,198.0,118.9172,115.0,68.0,184.0,373.5118,372.0,251.0,504.0,265.3876,265.0,199.0,351.0,3.42,3.0,3.0,4.0,8.5288,9.0,7.0,11.0,3.457614192454332,3.45091856742921,2.6275846126389406,4.487487944468056,3.457614192454332,3.45091856742921,2.6275846126389406,4.487487944468056,8.532195181390358,8.507014517566079,6.719555623605483,10.573506968961206,8.532195181390358,8.507014517566079,6.719555623605483,10.573506968961206,0.01,0.01,0.01,0.01,49.9494,50.0,49.0,50.0,38.8742,39.0,34.0,44.0
4000,fixed_delta_0.02,F_delta_0.02,0.02,5000,1.0,0.9998,0.06506497689182561,0.06492857697512035,0.049921942536808,0.082671760108106,0.06506497689182561,0.06492857697512035,0.049921942536808,0.082671760108106,0.16335471620723524,0.16288902936087596,0.1352901349409087,0.2034978810596228,0.16335471620723524,0.16288902936087596,0.1352901349409087,0.2034978810596228,3.1376,3.0,2.0,4.0,3.1376,3.0,2.0,4.0,8.1708,8.0,7.0,10.0,8.1708,8.0,7.0,10.0,166.6376,161.0,113.0,255.0,146.453,143.0,87.0,235.0,474.2806,468.0,348.0,633.0,341.8038,341.0,252.0,438.0,3.1376,3.0,2.0,4.0,8.1708,8.0,7.0,10.0,3.253248844591283,3.24642884875602,2.496097126840401,4.133588005405301,3.253248844591283,3.24642884875602,2.496097126840401,4.133588005405301,8.167735810361764,8.1444514680438,6.764506747045434,10.17489405298114,8.167735810361764,8.1444514680438,6.764506747045434,10.17489405298114,0.01,0.01,0.01,0.01,49.9828,50.0,49.0,50.0,39.9394,40.0,35.0,45.0
5000,fixed_delta_0.02,F_delta_0.02,0.02,5000,1.0,0.999,0.0620450476353668,0.0619339091366577,0.047765017195936,0.0763542381694697,0.0620450476353668,0.0619339091366577,0.047765017195936,0.0763542381694697,0.1579244049323864,0.15739713276616915,0.1319203470031287,0.1910180576428067,0.1579244049323864,0.15739713276616915,0.1319203470031287,0.1910180576428067,3.0304,3.0,2.0,4.0,3.0304,3.0,2.0,4.0,7.9154,8.0,7.0,10.0,7.9154,8.0,7.0,10.0,200.7596,199.0,124.0,308.0,177.5738,176.0,100.0,266.0,571.9554,576.0,429.0,761.0,416.5218,417.0,321.0,513.0,3.0304,3.0,2.0,4.0,7.9154,8.0,7.0,10.0,3.1022523817683423,3.0966954568328884,2.3882508597968006,3.817711908473487,3.1022523817683423,3.0966954568328884,2.3882508597968006,3.817711908473487,7.896220246619324,7.869856638308459,6.596017350156435,9.550902882140337,7.896220246619324,7.869856638308459,6.596017350156435,9.550902882140337,0.01,0.01,0.01,0.01,49.9932,50.0,49.0,50.0,40.6972,41.0,36.0,45.0
500,fixed_delta_0.025,F_delta_0.025,0.025,5000,1.0,0.9998,0.1034085319038853,0.10330893901673724,0.0660308785812657,0.1487704876589619,0.1034085319038853,0.10330893901673724,0.0660308785812657,0.1487704876589619,0.22699300984886572,0.227023582128336,0.1441990274360397,0.3276390226608883,0.22699300984886572,0.227023582128336,0.1441990274360397,0.3276390226608883,4.1372,4.0,3.0,6.0,4.1346,4.0,2.0,6.0,9.0804,9.0,6.0,13.0,9.046,9.0,6.0,13.0,35.6838,35.0,12.0,77.0,28.7866,29.0,10.0,52.0,86.6514,86.0,46.0,153.0,54.8598,55.0,25.0,91.0,4.1344,4.0,2.0,6.0,9.0458,9.0,6.0,13.0,4.136341276155413,4.132357560669492,2.641235143250628,5.950819506358475,4.136341276155413,4.132357560669492,2.641235143250628,5.950819506358475,9.079720393954629,9.08094328513344,5.76796109744159,13.105560906435532,9.079720393954629,9.08094328513344,5.76796109744159,13.105560906435532,0.012499999999999999,0.0125,0.0125,0.0125,39.3728,39.0,37.0,40.0,24.3998,24.0,18.0,31.0
750,fixed_delta_0.025,F_delta_0.025,0.025,5000,1.0,1.0,0.09357889895959512,0.09323213231988225,0.06373783995461,0.1333769481194522,0.09357889895959512,0.09323213231988225,0.06373783995461,0.1333769481194522,0.21133554605797628,0.21113777013072943,0.1499882339781258,0.2839376939553737,0.21133554605797628,0.21113777013072943,0.1499882339781258,0.2839376939553737,3.7622,4.0,3.0,5.0,3.7622,4.0,3.0,5.0,8.4588,8.0,6.0,11.0,8.457,8.0,6.0,11.0,48.1706,49.0,19.0,84.0,39.6194,40.0,16.0,68.0,119.639,119.0,66.0,186.0,78.1566,78.0,42.0,115.0,3.7622,4.0,3.0,5.0,8.457,8.0,6.0,11.0,3.7431559583838068,3.7292852927952924,2.549513598184402,5.335077924778089,3.7431559583838068,3.7292852927952924,2.549513598184402,5.335077924778089,8.453421842319052,8.44551080522918,5.999529359125033,11.357507758214949,8.453421842319052,8.44551080522918,5.999529359125033,11.357507758214949,0.012499999999999999,0.0125,0.0125,0.0125,39.6228,40.0,38.0,40.0,26.5162,27.0,20.0,32.0
1000,fixed_delta_0.025,F_delta_0.025,0.025,5000,1.0,0.9994,0.0880216162929456,0.0878578761567394,0.0603940638639838,0.129464429728772,0.0880216162929456,0.0878578761567394,0.0603940638639838,0.129464429728772,0.20242810459143215,0.20221370557128435,0.1499127756054938,0.2577295996246489,0.20242810459143215,0.20221370557128435,0.1499127756054938,0.2577295996246489,3.5206,4.0,2.0,5.0,3.5206,4.0,2.0,5.0,8.0994,8.0,6.0,10.0,8.0992,8.0,6.0,10.0,59.7776,59.0,27.0,107.0,49.7488,49.0,23.0,84.0,151.7066,151.0,90.0,236.0,100.9244,101.0,64.0,150.0,3.5206,4.0,2.0,5.0,8.0992,8.0,6.0,10.0,3.5208646517178255,3.5143150462695774,2.415762554559352,5.17857718915088,3.5208646517178255,3.5143150462695774,2.415762554559352,5.17857718915088,8.097124183657288,8.088548222851372,5.996511024219752,10.309183984985957,8.097124183657288,8.088548222851372,5.996511024219752,10.309183984985957,0.012499999999999999,0.0125,0.0125,0.0125,39.7626,40.0,38.0,40.0,27.8364,28.0,20.0,33.0
1500,fixed_delta_0.025,F_delta_0.025,0.025,5000,1.0,0.996,0.08065167626409338,0.0805263657047422,0.0579510851826124,0.1131543831755112,0.08065167626409338,0.0805263657047422,0.0579510851826124,0.1131543831755112,0.19049856065000975,0.18991592859563455,0.1433126603800304,0.2398224403007628,0.19049856065000975,0.18991592859563455,0.1433126603800304,0.2398224403007628,3.1584,3.0,2.0,5.0,3.1584,3.0,2.0,5.0,7.6204,8.0,6.0,10.0,7.6204,8.0,6.0,10.0,79.7814,77.0,34.0,132.0,67.7552,66.0,31.0,119.0,212.0136,212.0,121.0,294.0,144.571,144.0,97.0,206.0,3.1584,3.0,2.0,5.0,7.6204,8.0,6.0,10.0,3.2260670505637368,3.2210546281896906,2.3180434073044967,4.526175327020448,3.2260670505637368,3.2210546281896906,2.3180434073044967,4.526175327020448,7.61994242600039,7.596637143825382,5.732506415201217,9.592897612030512,7.61994242600039,7.596637143825382,5.732506415201217,9.592897612030512,0.012499999999999999,0.0125,0.0125,0.0125,39.9,40.0,39.0,40.0,29.486,30.0,24.0,34.0
2000,fixed_delta_0.025,F_delta_0.025,0.025,5000,1.0,0.987,0.07590836139272772,0.07579781165866381,0.0559447501170025,0.1052078310949879,0.07590836139272772,0.07579781165866381,0.0559447501170025,0.1052078310949879,0.1824657528934958,0.18187196963100805,0.1423634585344849,0.2259626161488696,0.1824657528934958,0.18187196963100805,0.1423634585344849,0.2259626161488696,3.0152,3.0,2.0,4.0,3.0152,3.0,2.0,4.0,7.299,7.0,6.0,9.0,7.299,7.0,6.0,9.0,101.2384,101.0,51.0,166.0,86.8816,87.0,35.0,137.0,269.0336,265.0,170.0,377.0,186.5424,186.0,131.0,266.0,3.0152,3.0,2.0,4.0,7.299,7.0,6.0,9.0,3.0363344557091105,3.0319124663465518,2.2377900046801025,4.208313243799517,3.0363344557091105,3.0319124663465518,2.2377900046801025,4.208313243799517,7.298630115739832,7.2748787852403245,5.694538341379398,9.038504645954786,7.298630115739832,7.2748787852403245,5.694538341379398,9.038504645954786,0.012499999999999999,0.0125,0.0125,0.0125,39.9556,40.0,39.0,40.0,30.5138,31.0,26.0,35.0
3000,fixed_delta_0.025,F_delta_0.025,0.025,5000,1.0,0.9104,0.06957602422344733,0.0695506404620386,0.0530329202791491,0.0907110514615807,0.06957602422344733,0.0695506404620386,0.0530329202791491,0.0907110514615807,0.17146970053913133,0.17099313798948595,0.135967614134096,0.2157155128451636,0.17146970053913133,0.17099313798948595,0.135967614134096,0.2157155128451636,2.9106,3.0,2.0,4.0,2.9106,3.0,2.0,4.0,6.87,7.0,5.0,9.0,6.87,7.0,5.0,9.0,146.2546,150.0,67.0,211.0,126.0856,129.0,52.0,177.0,376.5476,380.0,251.0,525.0,266.8028,268.0,195.0,352.0,2.9106,3.0,2.0,4.0,6.87,7.0,5.0,9.0,2.7830409689378945,2.7820256184815464,2.1213168111659675,3.6284420584632313,2.7830409689378945,2.7820256184815464,2.1213168111659675,3.6284420584632313,6.858788021565255,6.839725519579439,5.438704565363843,8.628620513806545,6.858788021565255,6.839725519579439,5.438704565363843,8.628620513806545,0.012499999999999999,0.0125,0.0125,0.0125,39.9906,40.0,39.0,40.0,31.7834,32.0,27.0,36.0
4000,fixed_delta_0.025,F_delta_0.025,0.025,5000,1.0,0.7234,0.065423604926005,0.065330609177961,0.0510356774128502,0.0840213069015245,0.065423604926005,0.065330609177961,0.0510356774128502,0.0840213069015245,0.16418568196517042,0.16367044267656228,0.1369606236355292,0.2058947514542145,0.16418568196517042,0.16367044267656228,0.1369606236355292,0.2058947514542145,2.7234,3.0,2.0,3.0,2.7234,3.0,2.0,3.0,6.5594,7.0,5.0,8.0,6.5594,7.0,5.0,8.0,181.8134,194.0,97.0,252.0,157.8242,167.0,83.0,223.0,476.3116,485.0,366.0,640.0,342.5798,343.0,248.0,437.0,2.7234,3.0,2.0,3.0,6.5594,7.0,5.0,8.0,2.616944197040202,2.6132243671184403,2.04142709651401,3.3608522760609807,2.616944197040202,2.6132243671184403,2.04142709651401,3.3608522760609807,6.567427278606818,6.546817707062495,5.47842494542117,8.23579005816858,6.567427278606818,6.546817707062495,5.47842494542117,8.23579005816858,0.012499999999999999,0.0125,0.0125,0.0125,39.9992,40.0,39.0,40.0,32.5722,33.0,28.0,37.0
5000,fixed_delta_0.025,F_delta_0.025,0.025,5000,1.0,0.4702,0.06241734233766653,0.062177791551275854,0.047615291283656,0.0776420841597445,0.06241734233766653,0.062177791551275854,0.047615291283656,0.0776420841597445,0.1587521952524595,0.1583644880032341,0.1332732780695798,0.1975197326601728,0.1587521952524595,0.1583644880032341,0.1332732780695798,0.1975197326601728,2.4702,2.0,2.0,3.0,2.4702,2.0,2.0,3.0,6.3092,6.0,5.0,8.0,6.3092,6.0,5.0,8.0,205.1944,184.0,119.0,308.0,180.0892,167.0,111.0,266.0,569.7492,550.5,380.0,798.0,415.1452,410.0,327.0,527.0,2.4702,2.0,2.0,3.0,6.3092,6.0,5.0,8.0,2.4966936935066624,2.487111662051036,1.904611651346241,3.105683366389783,2.4966936935066624,2.487111662051036,1.904611651346241,3.105683366389783,6.350087810098382,6.334579520129364,5.330931122783194,7.900789306406915,6.350087810098382,6.334579520129364,5.330931122783194,7.900789306406915,0.012499999999999999,0.0125,0.0125,0.0125,39.9996,40.0,39.0,40.0,33.1374,33.0,29.0,38.0
500,fixed_delta_0.03,F_delta_0.03,0.03,5000,1.0,0.9934,0.1027565821915423,0.10245815266623576,0.060351092858005,0.1496047336305775,0.1027565821915423,0.10245815266623576,0.060351092858005,0.1496047336305775,0.22626043637608864,0.22614044062488764,0.1402830325264528,0.3398214788157102,0.22626043637608864,0.22614044062488764,0.1402830325264528,0.3398214788157102,3.4158,3.0,2.0,5.0,3.4152,3.0,2.0,5.0,7.5442,8.0,5.0,11.0,7.5346,8.0,5.0,11.0,35.3278,35.0,6.0,77.0,28.459,28.0,9.0,51.0,86.3528,86.0,44.0,156.0,54.7296,55.0,26.0,89.0,3.4152,3.0,2.0,5.0,7.5346,8.0,5.0,11.0,3.4252194063847448,3.4152717555411938,2.011703095266835,4.986824454352586,3.4252194063847448,3.4152717555411938,2.011703095266835,4.986824454352586,7.542014545869623,7.538014687496256,4.676101084215095,11.32738262719034,7.542014545869623,7.538014687496256,4.676101084215095,11.32738262719034,0.015,0.015,0.015,0.015,32.9188,33.0,31.0,34.0,21.1768,21.0,16.0,27.0
750,fixed_delta_0.03,F_delta_0.03,0.03,5000,1.0,0.9776,0.0939054148625292,0.09367711713736634,0.0637312288542649,0.1348978468145858,0.0939054148625292,0.09367711713736634,0.0637312288542649,0.1348978468145858,0.21220137968246694,0.2121359327854064,0.1488408638998989,0.2708600131969674,0.21220137968246694,0.2121359327854064,0.1488408638998989,0.2708600131969674,3.1072,3.0,2.0,4.0,3.1072,3.0,2.0,4.0,7.0724,7.0,5.0,9.0,7.0722,7.0,5.0,9.0,47.6704,47.0,13.0,85.0,39.3332,39.0,14.0,72.0,120.1302,120.0,67.0,182.0,78.3226,78.0,40.0,118.0,3.1072,3.0,2.0,4.0,7.0722,7.0,5.0,9.0,3.130180495417641,3.1225705712455465,2.124374295142164,4.496594893819528,3.130180495417641,3.1225705712455465,2.124374295142164,4.496594893819528,7.073379322748901,7.071197759513549,4.961362129996631,9.028667106565582,7.073379322748901,7.071197759513549,4.961362129996631,9.028667106565582,0.015,0.015,0.015,0.015,33.0904,33.0,32.0,34.0,22.8268,23.0,17.0,28.0
1000,fixed_delta_0.03,F_delta_0.03,0.03,5000,1.0,0.9484,0.08840559424929634,0.08822411611987685,0.0598328080945939,0.1197733144893686,0.08840559424929634,0.08822411611987685,0.0598328080945939,0.1197733144893686,0.2034196057680046,0.2031315980255641,0.1509312277406382,0.2605752096086893,0.2034196057680046,0.2031315980255641,0.1509312277406382,0.2605752096086893,2.9774,3.0,2.0,4.0,2.9774,3.0,2.0,4.0,6.7726,7.0,5.0,9.0,6.7724,7.0,5.0,9.0,60.7496,61.0,23.0,105.0,50.5174,51.0,19.0,84.0,152.3568,153.0,90.0,234.0,101.1126,101.0,64.0,146.0,2.9774,3.0,2.0,4.0,6.7724,7.0,5.0,9.0,2.9468531416432127,2.940803870662564,1.9944269364864649,3.992443816312288,2.9468531416432127,2.940803870662564,1.9944269364864649,3.992443816312288,6.7806535256001546,6.7710532675188055,5.03104092468794,8.685840320289644,6.7806535256001546,6.7710532675188055,5.03104092468794,8.685840320289644,0.015,0.015,0.015,0.015,33.185,33.0,32.0,34.0,23.84,24.0,18.0,28.0
1500,fixed_delta_0.03,F_delta_0.03,0.03,5000,1.0,0.8152,0.08110725146754515,0.08086219977156085,0.0588029584816682,0.1086664663457962,0.08110725146754515,0.08086219977156085,0.0588029584816682,0.1086664663457962,0.1915637823155615,0.19111370577791237,0.1497306834333919,0.2470235293057062,0.1915637823155615,0.19111370577791237,0.1497306834333919,0.2470235293057062,2.8164,3.0,2.0,4.0,2.8164,3.0,2.0,4.0,6.3808,6.0,5.0,8.0,6.3808,6.0,5.0,8.0,85.8918,89.0,38.0,139.0,72.088,74.0,30.0,124.0,213.2488,210.0,121.0,301.0,145.0638,144.0,97.0,212.0,2.8164,3.0,2.0,4.0,6.3808,6.0,5.0,8.0,2.7035750489181725,2.69540665905203,1.9600986160556093,3.6222155448598743,2.7035750489181725,2.69540665905203,1.9600986160556093,3.6222155448598743,6.385459410518719,6.370456859263747,4.991022781113065,8.234117643523541,6.385459410518719,6.370456859263747,4.991022781113065,8.234117643523541,0.015,0.015,0.015,0.015,33.3024,33.0,32.0,34.0,25.1168,25.0,21.0,30.0
2000,fixed_delta_0.03,F_delta_0.03,0.03,5000,1.0,0.5838,0.07638927322140664,0.07622822092822484,0.0573978187345124,0.0984326081777497,0.07638927322140664,0.07622822092822484,0.0573978187345124,0.0984326081777497,0.18354989708321004,0.1830038849109567,0.1456741065683066,0.2285180825787071,0.18354989708321004,0.1830038849109567,0.1456741065683066,0.2285180825787071,2.5838,3.0,2.0,3.0,2.5838,3.0,2.0,3.0,6.1226,6.0,5.0,8.0,6.1226,6.0,5.0,8.0,104.522,111.0,51.0,156.0,88.816,92.0,43.0,139.0,271.1728,267.0,170.0,384.0,187.5396,187.0,131.0,253.0,2.5838,3.0,2.0,3.0,6.1226,6.0,5.0,8.0,2.5463091073802233,2.540940697607496,1.913260624483749,3.281086939258326,2.5463091073802233,2.540940697607496,1.913260624483749,3.281086939258326,6.118329902773669,6.100129497031892,4.855803552276887,7.617269419290239,6.118329902773669,6.100129497031892,4.855803552276887,7.617269419290239,0.015,0.015,0.015,0.015,33.3824,33.0,32.0,34.0,25.9202,26.0,22.0,30.0
3000,fixed_delta_0.03,F_delta_0.03,0.03,5000,1.0,0.1664,0.06998788323947218,0.07002265194202345,0.0529898565696999,0.0919598642702219,0.06998788323947218,0.07002265194202345,0.0529898565696999,0.0919598642702219,0.17257022134216318,0.17213416533307246,0.1380627831195426,0.2174639078367439,0.17257022134216318,0.17213416533307246,0.1380627831195426,0.2174639078367439,2.1664,2.0,2.0,3.0,2.1664,2.0,2.0,3.0,5.783,6.0,5.0,7.0,5.783,6.0,5.0,7.0,129.8566,122.0,84.0,224.0,113.3604,108.0,68.0,191.0,381.0628,390.0,263.0,518.0,268.9118,271.0,193.0,365.0,2.1664,2.0,2.0,3.0,5.783,6.0,5.0,7.0,2.3329294413157413,2.3340883980674505,1.7663285523233316,3.0653288090073967,2.3329294413157413,2.3340883980674505,1.7663285523233316,3.0653288090073967,5.7523407114054415,5.737805511102417,4.602092770651423,7.2487969278914655,5.7523407114054415,5.737805511102417,4.602092770651423,7.2487969278914655,0.015,0.015,0.015,0.015,33.529,34.0,33.0,34.0,26.8974,27.0,23.0,31.0
4000,fixed_delta_0.03,F_delta_0.03,0.03,5000,1.0,0.0264,0.06576322072350992,0.06574740329381029,0.0489569055912334,0.0833101386156886,0.06576322072350992,0.06574740329381029,0.0489569055912334,0.0833101386156886,0.16519326282555344,0.16458781949114745,0.1358419708289494,0.2060758332213544,0.16519326282555344,0.16458781949114745,0.1358419708289494,0.2060758332213544,2.0264,2.0,2.0,3.0,2.0264,2.0,2.0,3.0,5.4882,5.0,5.0,7.0,5.4882,5.0,5.0,7.0,161.0946,159.0,118.0,279.0,142.2406,141.0,99.0,229.0,478.6472,467.0,364.0,672.0,343.515,342.0,263.0,434.0,2.0264,2.0,2.0,3.0,5.4882,5.0,5.0,7.0,2.1921073574503325,2.1915801097936782,1.6318968530411155,2.777004620522956,2.1921073574503325,2.1915801097936782,1.6318968530411155,2.777004620522956,5.506442094185116,5.486260649704915,4.528065694298316,6.869194440711813,5.506442094185116,5.486260649704915,4.528065694298316,6.869194440711813,0.015,0.015,0.015,0.015,33.637,34.0,33.0,34.0,27.517,28.0,24.0,31.0
5000,fixed_delta_0.03,F_delta_0.03,0.03,5000,1.0,0.0024,0.06273303101473586,0.0624389370472069,0.0474132927860964,0.078094206821597,0.06273303101473586,0.0624389370472069,0.0474132927860964,0.078094206821597,0.159680419021053,0.1592148879833366,0.1341273779550073,0.1993424272192661,0.159680419021053,0.1592148879833366,0.1341273779550073,0.1993424272192661,2.0024,2.0,2.0,3.0,2.0024,2.0,2.0,3.0,5.2488,5.0,4.0,7.0,5.2488,5.0,4.0,7.0,198.832,199.0,149.0,338.0,176.165,176.0,134.0,272.0,568.6968,547.0,416.0,801.0,414.47,407.0,314.0,539.0,2.0024,2.0,2.0,3.0,5.2488,5.0,4.0,7.0,2.0911010338245304,2.0812979015735644,1.580443092869881,2.6031402273865685,2.0911010338245304,2.0812979015735644,1.580443092869881,2.6031402273865685,5.322680634035103,5.307162932777888,4.470912598500243,6.64474757397554,5.322680634035103,5.307162932777888,4.470912598500243,6.64474757397554,0.015,0.015,0.015,0.015,33.716,34.0,33.0,34.0,27.966,28.0,25.0,32.0
500,fixed_delta_0.035,F_delta_0.035,0.035,5000,1.0,0.8994,0.10292193123670547,0.10271318060041645,0.0656366067682468,0.1470270424284048,0.10292193123670547,0.10271318060041645,0.0656366067682468,0.1470270424284048,0.22644159485735763,0.2259395160748659,0.1492684075498979,0.3359314750265041,0.22644159485735763,0.2259395160748659,0.1492684075498979,0.3359314750265041,2.9544,3.0,2.0,4.0,2.9544,3.0,2.0,4.0,6.4618,6.0,4.0,10.0,6.4574,6.0,4.0,10.0,35.6714,36.0,11.0,67.0,28.7948,29.0,9.0,54.0,86.2614,86.0,42.0,141.0,54.7164,54.0,26.0,82.0,2.9544,3.0,2.0,4.0,6.4574,6.0,4.0,10.0,2.9406266067630145,2.934662302869043,1.8753316219499097,4.200772640811566,2.9406266067630145,2.934662302869043,1.8753316219499097,4.200772640811566,6.469759853067362,6.455414744996168,4.264811644282798,9.598042143614403,6.469759853067362,6.455414744996168,4.264811644282798,9.598042143614403,0.0175,0.0175,0.0175,0.0175,28.3358,28.0,27.0,29.0,18.727,19.0,13.0,25.0
750,fixed_delta_0.035,F_delta_0.035,0.035,5000,1.0,0.7476,0.09408478266122558,0.0938703297491337,0.0601432361274719,0.1310684316164758,0.09408478266122558,0.0938703297491337,0.0601432361274719,0.1310684316164758,0.21235726669070923,0.21230802729643278,0.1443570171997681,0.271611353910341,0.21235726669070923,0.21230802729643278,0.1443570171997681,0.271611353910341,2.7516,3.0,2.0,4.0,2.7516,3.0,2.0,4.0,6.0686,6.0,4.0,8.0,6.0684,6.0,4.0,8.0,49.4828,51.0,17.0,85.0,40.4798,41.0,16.0,76.0,120.338,120.0,66.0,190.0,78.361,78.0,43.0,118.0,2.7516,3.0,2.0,4.0,6.0684,6.0,4.0,8.0,2.688136647463589,2.6820094214038215,1.7183781750706282,3.744812331899308,2.688136647463589,2.6820094214038215,1.7183781750706282,3.744812331899308,6.067350476877406,6.065943637040938,4.12448620570766,7.760324397438314,6.067350476877406,6.065943637040938,4.12448620570766,7.760324397438314,0.0175,0.0175,0.0175,0.0175,28.5018,29.0,27.0,29.0,20.0538,20.0,15.0,25.0
